,example_id,sentence,sentence_label,left_tree,left_label,right_tree,right_label
44,00045,"If Mr. Zhang 's subject matter is , to some degree at least , quintessentially American , his approach to storytelling might be called Iranian .",neutral,"If Mr. Zhang 's subject matter is , to some degree at least , quintessentially American",neutral,", his approach to storytelling might be called Iranian .",negative
45,00046,... a sour little movie at its core ; an exploration of the emptiness that underlay the relentless gaiety of the 1920 's ... The film 's ending has a `` What was it all for ? '',negative,... a sour little movie at its core ; an exploration of the emptiness that underlay the relentless gaiety of the 1920 's ... The film 's ending has a `` What was it all for ?,negative,'',neutral
46,00047,"feeling to it , but like the 1920 's , the trip there is a great deal of fun .",positive,"feeling to it , but like the 1920 's",neutral,", the trip there is a great deal of fun .",positive
47,00048,`` Cremaster 3 '' should come with the warning `` For serious film buffs only ! '',positive,``,neutral,Cremaster 3 '' should come with the warning `` For serious film buffs only ! '',negative
48,00049,Made me unintentionally famous -- as the queasy-stomached critic who staggered from the theater and blacked out in the lobby .,negative,Made me unintentionally famous -- as the queasy-stomached critic who staggered from the theater and blacked out in the lobby,negative,.,neutral
49,00050,"But believe it or not , it 's one of the most beautiful , evocative works I 've seen .",positive,But believe it or not,neutral,", it 's one of the most beautiful , evocative works I 've seen .",positive
50,00051,"García Bernal and Talancón are an immensely appealing couple , and even though their story is predictable , you 'll want things to work out .",positive,"García Bernal and Talancón are an immensely appealing couple , and even though their story is predictable , you 'll want things to work out",positive,.,neutral
51,00052,"... a spoof comedy that carries its share of laughs -- sometimes a chuckle , sometimes a guffaw and , to my great pleasure , the occasional belly laugh .",positive,...,neutral,"a spoof comedy that carries its share of laughs -- sometimes a chuckle , sometimes a guffaw and , to my great pleasure , the occasional belly laugh .",positive
52,00053,"-LRB- City -RRB- reminds us how realistically nuanced a Robert De Niro performance can be when he is not more lucratively engaged in the shameless self-caricature of ` Analyze This ' -LRB- 1999 -RRB- and ` Analyze That , ' promised -LRB- or threatened -RRB- for later this year .",positive,-LRB- City -RRB-,neutral,"reminds us how realistically nuanced a Robert De Niro performance can be when he is not more lucratively engaged in the shameless self-caricature of ` Analyze This ' -LRB- 1999 -RRB- and ` Analyze That , ' promised -LRB- or threatened -RRB- for later this year .",neutral
53,00054,The wanton slipperiness of \* Corpus and its amiable jerking and reshaping of physical time and space would make it a great piece to watch with kids and use to introduce video as art .,positive,The wanton slipperiness of \* Corpus and its amiable jerking and reshaping of physical time and space,neutral,would make it a great piece to watch with kids and use to introduce video as art .,positive
54,00055,"`` Frailty '' starts out like a typical Bible killer story , but it turns out to be significantly different -LRB- and better -RRB- than most films with this theme .",positive,"`` Frailty '' starts out like a typical Bible killer story , but it turns out to be significantly different -LRB- and better -RRB- than most films with this theme",positive,.,neutral
55,00056,"For those who pride themselves on sophisticated , discerning taste , this might not seem like the proper cup of tea , however it is almost guaranteed that even the stuffiest cinema goers will laugh their \*\*\* off for an hour-and-a-half .",positive,"For those who pride themselves on sophisticated , discerning taste",neutral,", this might not seem like the proper cup of tea , however it is almost guaranteed that even the stuffiest cinema goers will laugh their \*\*\* off for an hour-and-a-half .",positive
56,00057,"It cuts to the core of what it actually means to face your fears , to be a girl in a world of boys , to be a boy truly in love with a girl , and to ride the big metaphorical wave that is life -- wherever it takes you .",positive,It,neutral,"cuts to the core of what it actually means to face your fears , to be a girl in a world of boys , to be a boy truly in love with a girl , and to ride the big metaphorical wave that is life -- wherever it takes you .",positive
57,00058,"A welcome relief from baseball movies that try too hard to be mythic , this one is a sweet and modest and ultimately winning story .",positive,A welcome relief from baseball movies that try too hard to be mythic,positive,", this one is a sweet and modest and ultimately winning story .",positive
58,00059,A crisp psychological drama -LRB- and -RRB- a fascinating little thriller that would have been perfect for an old `` Twilight Zone '' episode .,positive,A crisp psychological drama -LRB- and -RRB- a fascinating little thriller that would have been perfect for an old `` Twilight Zone '' episode,positive,.,neutral
59,00060,It has more than a few moments that are insightful enough to be fondly remembered in the endlessly challenging maze of moviegoing .,positive,It,neutral,has more than a few moments that are insightful enough to be fondly remembered in the endlessly challenging maze of moviegoing .,positive
60,00061,"Opening with some contrived banter , cliches and some loose ends , the screenplay only comes into its own in the second half .",neutral,"Opening with some contrived banter , cliches and some loose ends",neutral,", the screenplay only comes into its own in the second half .",positive
61,00062,"An uncluttered , resonant gem that relays its universal points without lectures or confrontations . '",positive,"An uncluttered , resonant gem that relays its universal points without lectures or confrontations .",positive,',neutral
62,00063,-LRB- The Cockettes -RRB- provides a window into a subculture hell-bent on expressing itself in every way imaginable . ',positive,-LRB-,negative,The Cockettes -RRB- provides a window into a subculture hell-bent on expressing itself in every way imaginable . ',positive
63,00064,"A smart , steamy mix of road movie , coming-of-age story and political satire .",positive,"A smart , steamy mix of road movie , coming-of-age story and political satire",positive,.,neutral
64,00065,The modern-day royals have nothing on these guys when it comes to scandals .,negative,The modern-day royals,neutral,have nothing on these guys when it comes to scandals .,neutral
65,00066,It 's only in fairy tales that princesses that are married for political reason live happily ever after .,negative,It,neutral,'s only in fairy tales that princesses that are married for political reason live happily ever after .,neutral
66,00067,"A terrific B movie -- in fact , the best in recent memory .",positive,"A terrific B movie -- in fact , the best in recent memory",positive,.,neutral
67,00068,`` Birthday Girl '' is an actor 's movie first and foremost .,positive,``,neutral,Birthday Girl '' is an actor 's movie first and foremost .,positive
68,00069,I walked away from this new version of E.T. just as I hoped I would -- with moist eyes .,positive,I,neutral,walked away from this new version of E.T. just as I hoped I would -- with moist eyes .,positive
69,00070,"For devotees of French cinema , Safe Conduct is so rich with period minutiae it 's like dying and going to celluloid heaven .",positive,For devotees of French cinema,positive,", Safe Conduct is so rich with period minutiae it 's like dying and going to celluloid heaven .",positive
70,00071,What 's really so appealing about the characters is their resemblance to everyday children .,positive,What 's really so appealing about the characters,neutral,is their resemblance to everyday children .,positive
71,00072,"Shamelessly resorting to pee-related sight gags that might even cause Tom Green a grimace ; still , Myer 's energy and the silliness of it all eventually prevail",neutral,Shamelessly,negative,"resorting to pee-related sight gags that might even cause Tom Green a grimace ; still , Myer 's energy and the silliness of it all eventually prevail",neutral
72,00073,An absurdist spider web .,negative,An,neutral,absurdist spider web .,negative
73,00074,"If you 're as happy listening to movies as you are watching them , and the slow parade of human frailty fascinates you , then you 're at the right film .",positive,"If you 're as happy listening to movies as you are watching them , and the slow parade of human frailty fascinates you",positive,", then you 're at the right film .",positive
74,00075,"This version moves beyond the original 's nostalgia for the communal film experiences of yesteryear to a deeper realization of cinema 's inability to stand in for true , lived experience .",neutral,This version,neutral,"moves beyond the original 's nostalgia for the communal film experiences of yesteryear to a deeper realization of cinema 's inability to stand in for true , lived experience .",positive
75,00076,Some movies blend together as they become distant memories .,neutral,Some movies,neutral,blend together as they become distant memories .,positive
76,00077,Mention `` Solaris '' five years from now and I 'm sure those who saw it will have an opinion to share .,positive,Mention `` Solaris '' five years from now and I 'm sure those who saw it will have an opinion to share,neutral,.,neutral
77,00078,Allen 's funniest and most likeable movie in years .,positive,Allen,neutral,'s funniest and most likeable movie in years .,positive
78,00079,It 's a glorious spectacle like those D.W. Griffith made in the early days of silent film .,positive,It,neutral,'s a glorious spectacle like those D.W. Griffith made in the early days of silent film .,positive
79,00080,This comic gem is as delightful as it is derivative .,positive,This comic gem,positive,is as delightful as it is derivative .,positive
80,00081,"More timely than its director could ever have dreamed , this quietly lyrical tale probes the ambiguous welcome extended by Iran to the Afghani refugees who streamed across its borders , desperate for work and food .",positive,More timely than its director could ever have dreamed,positive,", this quietly lyrical tale probes the ambiguous welcome extended by Iran to the Afghani refugees who streamed across its borders , desperate for work and food .",positive
81,00082,"The leaping story line , shaped by director Peter Kosminsky into sharp slivers and cutting impressions , shows all the signs of rich detail condensed into a few evocative images and striking character traits .",positive,"The leaping story line , shaped by director Peter Kosminsky into sharp slivers and cutting impressions ,",positive,shows all the signs of rich detail condensed into a few evocative images and striking character traits .,positive
82,00083,"With three excellent principal singers , a youthful and good-looking diva and tenor and richly handsome locations , it 's enough to make you wish Jacquot had left well enough alone and just filmed the opera without all these distortions of perspective .",neutral,"With three excellent principal singers , a youthful and good-looking diva and tenor and richly handsome locations",positive,", it 's enough to make you wish Jacquot had left well enough alone and just filmed the opera without all these distortions of perspective .",negative
83,00084,"The production has been made with an enormous amount of affection , so we believe these characters love each other .",positive,"The production has been made with an enormous amount of affection , so we believe these characters love each other",positive,.,neutral
84,00085,Certainly the performances are worthwhile .,positive,Certainly,positive,the performances are worthwhile .,positive
85,00086,"Winds up being both revelatory and narcissistic , achieving some honest insight into relationships that most high-concept films candy-coat with pat storylines , precious circumstances and beautiful stars .",positive,"Winds up being both revelatory and narcissistic , achieving some honest insight into relationships that most high-concept films candy-coat with pat storylines , precious circumstances and beautiful stars",positive,.,neutral
86,00087,Watching these eccentrics is both inspiring and pure joy .,positive,Watching these eccentrics,neutral,is both inspiring and pure joy .,positive
87,00088,Steven Spielberg brings us another masterpiece,positive,Steven Spielberg,neutral,brings us another masterpiece,positive
88,00089,"Finally , the French-produced `` Read My Lips '' is a movie that understands characters must come first .",positive,Finally,neutral,", the French-produced `` Read My Lips '' is a movie that understands characters must come first .",positive
89,00090,"Ms. Seigner and Mr. Serrault bring fresh , unforced naturalism to their characters .",positive,Ms. Seigner and Mr. Serrault,neutral,"bring fresh , unforced naturalism to their characters .",positive
90,00091,Allen shows he can outgag any of those young whippersnappers making moving pictures today .,positive,Allen,neutral,shows he can outgag any of those young whippersnappers making moving pictures today .,positive
91,00092,"A good film with a solid pedigree both in front of and , more specifically , behind the camera .",positive,"A good film with a solid pedigree both in front of and , more specifically , behind the camera",positive,.,neutral
92,00093,"By no means a slam-dunk and sure to ultimately disappoint the action fans who will be moved to the edge of their seats by the dynamic first act , it still comes off as a touching , transcendent love story .",negative,By no means a slam-dunk and sure to ultimately disappoint the action fans who will be moved to the edge of their seats by the dynamic first act,negative,", it still comes off as a touching , transcendent love story .",positive
93,00094,I encourage young and old alike to go see this unique and entertaining twist on the classic whale 's tale -- you wo n't be sorry !,positive,I encourage young and old alike to go see this unique and entertaining twist on the classic whale 's tale -- you wo n't be sorry,positive,!,neutral
94,00095,A literary detective story is still a detective story and aficionados of the whodunit wo n't be disappointed .,positive,A literary detective story is still a detective story and aficionados of the whodunit wo n't be disappointed,positive,.,neutral
95,00096,High Crimes steals so freely from other movies and combines enough disparate types of films that it ca n't help but engage an audience .,positive,High Crimes,neutral,steals so freely from other movies and combines enough disparate types of films that it ca n't help but engage an audience .,neutral
96,00097,If you 're a fan of the series you 'll love it and probably want to see it twice .,positive,If you 're a fan of the series,neutral,you 'll love it and probably want to see it twice .,positive
97,00098,I will be .,positive,I,neutral,will be .,neutral
98,00099,"It celebrates the group 's playful spark of nonconformity , glancing vividly back at what Hibiscus grandly called his ` angels of light . '",positive,It,neutral,"celebrates the group 's playful spark of nonconformity , glancing vividly back at what Hibiscus grandly called his ` angels of light . '",positive
99,00100,"The story ... is inspiring , ironic , and revelatory of just how ridiculous and money-oriented the record industry really is .",positive,The story,neutral,"... is inspiring , ironic , and revelatory of just how ridiculous and money-oriented the record industry really is .",positive
100,00101,It is also a testament to the integrity and vision of the band .,positive,It,neutral,is also a testament to the integrity and vision of the band .,neutral
101,00102,"Laced with liberal doses of dark humor , gorgeous exterior photography , and a stable-full of solid performances , No Such Thing is a fascinating little tale .",positive,"Laced with liberal doses of dark humor , gorgeous exterior photography , and a stable-full of solid performances",positive,", No Such Thing is a fascinating little tale .",positive
102,00103,"Huppert 's show to steal and she makes a meal of it , channeling Kathy Baker 's creepy turn as the repressed mother on Boston Public just as much as 8 Women 's Augustine .",positive,"Huppert 's show to steal and she makes a meal of it , channeling Kathy Baker 's creepy turn as the repressed mother on Boston Public just as much as 8 Women 's Augustine",positive,.,neutral
103,00104,Nair does n't treat the issues lightly .,positive,Nair,neutral,does n't treat the issues lightly .,neutral
104,00105,She allows each character to confront their problems openly and honestly .,positive,She,neutral,allows each character to confront their problems openly and honestly .,positive
105,00106,"One of the best silly horror movies of recent memory , with some real shocks in store for unwary viewers .",positive,One of the best silly horror movies of recent memory,positive,", with some real shocks in store for unwary viewers .",positive
106,00107,The work of a filmmaker who has secrets buried at the heart of his story and knows how to take time revealing them .,positive,The work of a filmmaker who has secrets buried at the heart of his story and knows how to take time revealing them,positive,.,neutral
107,00108,Strange occurrences build in the mind of the viewer and take on extreme urgency .,positive,Strange occurrences,neutral,build in the mind of the viewer and take on extreme urgency .,positive
108,00109,"Has a certain ghoulish fascination , and generates a fair amount of B-movie excitement .",positive,"Has a certain ghoulish fascination , and generates a fair amount of B-movie excitement",positive,.,neutral
109,00110,Familiar but utterly delightful .,positive,Familiar,neutral,but utterly delightful .,positive
110,00111,"A fascinating , dark thriller that keeps you hooked on the delicious pulpiness of its lurid fiction .",positive,"A fascinating , dark thriller that keeps you",positive,hooked on the delicious pulpiness of its lurid fiction .,positive
111,00112,"The film aims to be funny , uplifting and moving , sometimes all at once .",positive,The film,neutral,"aims to be funny , uplifting and moving , sometimes all at once .",positive
112,00113,The extent to which it succeeds is impressive .,positive,The extent to which it succeeds,positive,is impressive .,positive
113,00114,"The film brilliantly shines on all the characters , as the direction is intelligently accomplished .",positive,The film,neutral,"brilliantly shines on all the characters , as the direction is intelligently accomplished .",positive
114,00115,"While not for every taste , this often very funny collegiate gross-out comedy goes a long way toward restoring the luster of the National Lampoon film franchise , too long reduced to direct-to-video irrelevancy .",positive,While not for every taste,negative,", this often very funny collegiate gross-out comedy goes a long way toward restoring the luster of the National Lampoon film franchise , too long reduced to direct-to-video irrelevancy .",neutral
115,00116,"As broad and cartoonish as the screenplay is , there is an accuracy of observation in the work of the director , Frank Novak , that keeps the film grounded in an undeniable social realism .",positive,As broad and cartoonish as the screenplay is,neutral,", there is an accuracy of observation in the work of the director , Frank Novak , that keeps the film grounded in an undeniable social realism .",positive
116,00117,"In addition to Hoffman 's powerful acting clinic , this is that rare drama that offers a thoughtful and rewarding glimpse into the sort of heartache everyone has felt , or will feel someday .",positive,In addition to Hoffman 's powerful acting clinic,positive,", this is that rare drama that offers a thoughtful and rewarding glimpse into the sort of heartache everyone has felt , or will feel someday .",positive
117,00118,Jeffrey Tambor 's performance as the intelligent jazz-playing exterminator is Oscar-worthy .,positive,Jeffrey Tambor 's performance as the intelligent jazz-playing exterminator,neutral,is Oscar-worthy .,positive
118,00119,"From the opening strains of the Average White Band 's `` Pick up the Pieces '' , you can feel the love .",positive,From the opening strains of the Average White Band 's `` Pick up the Pieces '',neutral,", you can feel the love .",positive
119,00120,Stevens ' vibrant creative instincts are the difference between this and countless other flicks about guys and dolls .,positive,Stevens ' vibrant creative instincts,positive,are the difference between this and countless other flicks about guys and dolls .,neutral
120,00121,that it 'll probably be the best and most mature comedy of the 2002 summer season speaks more of the season than the picture,positive,that,neutral,it 'll probably be the best and most mature comedy of the 2002 summer season speaks more of the season than the picture,neutral
121,00122,"Old people will love this movie , and I mean that in the nicest possible way : Last Orders will touch the heart of anyone old enough to have earned a 50-year friendship .",neutral,"Old people will love this movie , and I mean that in the nicest possible way : Last Orders will touch the heart of anyone old enough to have earned a 50-year friendship",positive,.,neutral
122,00123,Meyjes ' provocative film might be called an example of the haphazardness of evil .,positive,Meyjes ' provocative film,positive,might be called an example of the haphazardness of evil .,neutral
123,00124,Tian emphasizes the isolation of these characters by confining color to Liyan 's backyard .,neutral,Tian,neutral,emphasizes the isolation of these characters by confining color to Liyan 's backyard .,neutral
124,00125,The movie is pretty funny now and then without in any way demeaning its subjects .,positive,The movie,neutral,is pretty funny now and then without in any way demeaning its subjects .,positive
125,00126,imagine a scenario where Bergman approaches Swedish fatalism using Gary Larson 's Far Side humor,positive,imagine a scenario,neutral,where Bergman approaches Swedish fatalism using Gary Larson 's Far Side humor,positive
126,00127,"Too damn weird to pass up , and for the blacklight crowd , way cheaper -LRB- and better -RRB- than Pink Floyd tickets .",positive,Too damn weird,negative,"to pass up , and for the blacklight crowd , way cheaper -LRB- and better -RRB- than Pink Floyd tickets .",neutral
127,00128,"It is most remarkable not because of its epic scope , but because of the startling intimacy it achieves despite that breadth .",positive,It,neutral,"is most remarkable not because of its epic scope , but because of the startling intimacy it achieves despite that breadth .",positive
128,00129,It 's not a great monster movie .,negative,It,neutral,'s not a great monster movie .,negative
129,00130,"But if you 've paid a matinee price and bought a big tub of popcorn , there 's guilty fun to be had here .",neutral,But,neutral,"if you 've paid a matinee price and bought a big tub of popcorn , there 's guilty fun to be had here .",neutral
130,00131,Chomp chomp !,neutral,Chomp,neutral,chomp !,neutral
131,00132,The Grey Zone gives voice to a story that needs to be heard in the sea of Holocaust movies ... but the film suffers from its own difficulties .,neutral,The Grey Zone gives voice to a story that needs to be heard in the sea of Holocaust movies ... but the film suffers from its own difficulties,neutral,.,neutral
132,00133,"Others , more attuned to the anarchist maxim that ` the urge to destroy is also a creative urge ' , or more willing to see with their own eyes , will find Morrison 's iconoclastic uses of technology to be liberating .",positive,Others,neutral,", more attuned to the anarchist maxim that ` the urge to destroy is also a creative urge ' , or more willing to see with their own eyes , will find Morrison 's iconoclastic uses of technology to be liberating .",neutral
133,00134,"Miller tells this very compelling tale with little fuss or noise , expertly plucking tension from quiet .",positive,Miller,neutral,"tells this very compelling tale with little fuss or noise , expertly plucking tension from quiet .",positive
134,00135,Time Out is existential drama without any of the pretension associated with the term .,positive,Time Out,negative,is existential drama without any of the pretension associated with the term .,positive
135,00136,"It 's a sweet , laugh-a-minute crowd pleaser that lifts your spirits as well as the corners of your mouth .",positive,It,neutral,"'s a sweet , laugh-a-minute crowd pleaser that lifts your spirits as well as the corners of your mouth .",positive
136,00137,Writer\/director Alexander Payne -LRB- Election -RRB- and his co-writer Jim Taylor brilliantly employ their quirky and fearless ability to look American angst in the eye and end up laughing .,positive,Writer\/director Alexander Payne -LRB- Election -RRB- and his co-writer Jim Taylor,neutral,brilliantly employ their quirky and fearless ability to look American angst in the eye and end up laughing .,positive
137,00138,A movie that at its best does n't just make the most out of its characters ' flaws but insists on the virtue of imperfection .,neutral,A movie,neutral,that at its best does n't just make the most out of its characters ' flaws but insists on the virtue of imperfection .,positive
138,00139,"It 's tough to watch , but it 's a fantastic movie .",positive,"It 's tough to watch , but it 's a fantastic movie",positive,.,neutral
139,00140,The best animated feature to hit theaters since Beauty and the Beast 11 years ago .,positive,The best animated,positive,feature to hit theaters since Beauty and the Beast 11 years ago .,positive
140,00141,What saves this deeply affecting film from being merely a collection of wrenching cases is Corcuera 's attention to detail .,positive,What saves this deeply affecting film from being merely,neutral,a collection of wrenching cases is Corcuera 's attention to detail .,positive
141,00142,Pacino is the best he 's been in years and Keener is marvelous .,positive,Pacino is the best he 's been in years and Keener is marvelous,positive,.,neutral
142,00143,"A solid , spooky entertainment worthy of the price of a ticket .",positive,"A solid , spooky entertainment worthy of the price of a ticket",positive,.,neutral
143,00144,"By turns fanciful , grisly and engagingly quixotic .",positive,By,neutral,"turns fanciful , grisly and engagingly quixotic .",positive
144,00145,"... very funny , very enjoyable ...",positive,...,neutral,"very funny , very enjoyable ...",positive
145,00146,Adaptation is intricately constructed and in a strange way nails all of Orlean 's themes without being a true adaptation of her book .,positive,Adaptation is intricately constructed and in a strange way nails all of Orlean 's themes without being a true adaptation of her book,positive,.,neutral
146,00147,So purely enjoyable that you might not even notice it 's a fairly straightforward remake of Hollywood comedies such as Father of the Bride .,positive,So,neutral,purely enjoyable that you might not even notice it 's a fairly straightforward remake of Hollywood comedies such as Father of the Bride .,positive
147,00148,Moonlight Mile gives itself the freedom to feel contradictory things .,positive,Moonlight Mile,neutral,gives itself the freedom to feel contradictory things .,positive
